card_type,Issuer,bank,ccbuddy_card_name,singsaver_card_name,card_name,deal_handler
Debit,Master,SCB,MANHATTAN $500 Card,,MANHATTAN $500 Card,scb_master
Credit,Master,UOB,UOB Lady's Card,UOB LADY'S CARD,UOB Lady's Card,uob_master
Credit,Visa,UOB,UOB ONE Card,UOB ONE CARD,UOB ONE Card,uob_visa
Debit,Master,UOB,UOB Debit Card,,UOB Debit Card,uob_master
Debit,Master,UOB,UOB Lady's Debit Card,,UOB Lady's Debit Card,uob_master
Credit,Visa,UOB,UOB YOLO Card,UOB YOLO CARD,UOB YOLO Card,uob_visa
Credit,Master,UOB,UOB Professionals Platinum Card,UOB PROFESSIONALS PLATINUM CARD,UOB Professionals Platinum Card,uob_master
Credit,Visa,UOB,Metro-UOB Card,UOB METRO-UOB CARD,Metro-UOB Card,uob_visa
Credit,Master,UOB,UOB PRVI Miles World Mastercard Card,UOB PRVI MILES WORLD MASTERCARD,UOB PRVI Miles World Mastercard Card,uob_master
Credit,Visa,UOB,UOB Preferred Platinum Visa Card,UOB PREFERRED PLATINUM VISA CARD,UOB Preferred Platinum Visa Card,uob_visa
Debit,Visa,UOB,UOB Direct Visa Debit Card,,UOB Direct Visa Debit Card,uob_visa
Debit,Master,UOB,KrisFlyer UOB Debit Card,,KrisFlyer UOB Debit Card,uob_master
Credit,Master,UOB,UOB Lady's Solitaire Card,,UOB Lady's Solitaire Card,uob_master
Credit,Visa,UOB,Singtel-UOB Card,UOB SINGTEL-UOB CARD,Singtel-UOB Card,uob_visa
Credit,Visa,UOB,UOB Visa Signature Card,UOB VISA SIGNATURE CARD,UOB Visa Signature Card,uob_visa
Credit,JCB,UOB,UOB JCB Card,UOB JCB CARD,UOB JCB Card,uob_jcb
Credit,Master,UOB,KrisFlyer UOB Credit Card,KRISFLYER UOB CREDIT CARD,KrisFlyer UOB Credit Card,uob_master
Credit,Visa,UOB,UOB PRVI Miles Visa Card,UOB PRVI MILES VISA CARD,UOB PRVI Miles Visa Card,uob_visa
Credit,Visa,UOB,UOB Visa Infinite Metal Card,UOB VISA INFINITE CARD,UOB Visa Infinite Metal Card,uob_visa
Credit,UnionPay,UOB,UOB UnionPay Card,UOB UNIONPAY PLATINUM CARD,UOB UnionPay Card,uob_unionpay
Credit,AMEX,UOB,UOB PRVI Miles American Express Card,UOB PRVI MILES AMERICAN EXPRESS CARD,UOB PRVI Miles American Express Card,uob_amex
Credit,Master,UOB,UOB Lady's Card,UOB LADY'S CARD,UOB Lady's Card,uob_lady
Debit,Master,UOB,UOB Lady's Debit Card,,UOB Lady's Debit Card,uob_ladydebit
Credit,AMEX,DBS,DBS Altitude American Express® Card,,DBS Altitude American Express® Card,dbs_all
Credit,Visa,DBS,DBS Altitude Visa Signature Card,DBS ALTITUDE VISA SIGNATURE CARD,DBS Altitude Visa Signature Card,dbs_all
Credit,AMEX,DBS,DBS Black American Express® Card,DBS BLACK AMERICAN EXPRESS CARD,DBS Black American Express® Card,dbs_all
